Date,G_AC_Vertical_Speed,G_ACC_Lateral,G_ACC_Normal
6/6/2018 8:07:20 PM,42,0.0,0.0
6/6/2018 8:07:21 PM,16,0.0,0.0
6/6/2018 8:07:22 PM,16,0.0,0.0
6/6/2018 8:07:23 PM,2,0.0,0.0
6/6/2018 8:07:24 PM,-29,0.0,-0.1
6/6/2018 8:07:25 PM,-48,0.0,0.0
6/6/2018 8:07:26 PM,-80,0.0,0.0
6/6/2018 8:07:27 PM,-80,0.0,0.0
6/6/2018 8:07:28 PM,-48,0.0,0.0
6/6/2018 8:07:29 PM,-32,0.0,0.0
6/6/2018 8:07:30 PM,0,0.0,0.1
6/6/2018 8:07:31 PM,16,0.0,0.0
6/6/2018 8:07:32 PM,0,0.0,0.0
6/6/2018 8:07:33 PM,0,0.0,0.0
6/6/2018 8:07:34 PM,0,0.0,0.0
6/6/2018 8:07:35 PM,-16,0.0,0.0
6/6/2018 8:07:36 PM,-16,0.0,-0.1
6/6/2018 8:07:37 PM,-32,0.0,0.0
6/6/2018 8:07:38 PM,-64,0.0,0.0
6/6/2018 8:07:39 PM,-48,0.0,0.0
6/6/2018 8:07:40 PM,-16,0.0,0.0
6/6/2018 8:07:41 PM,-16,0.0,0.0
6/6/2018 8:07:42 PM,-16,0.0,0.0
6/6/2018 8:07:43 PM,-16,0.0,-0.1
6/6/2018 8:07:44 PM,-16,0.0,-0.1
6/6/2018 8:07:45 PM,-16,0.0,-0.1
6/6/2018 8:07:46 PM,-16,0.0,0.0
6/6/2018 8:07:47 PM,-48,0.0,0.0
6/6/2018 8:07:48 PM,-32,0.0,0.0
6/6/2018 8:07:49 PM,-32,0.0,0.0
6/6/2018 8:07:50 PM,-32,0.0,0.0
6/6/2018 8:07:51 PM,-48,0.0,0.0
6/6/2018 8:07:52 PM,-32,0.0,0.0
6/6/2018 8:07:53 PM,-16,0.0,0.0
6/6/2018 8:07:54 PM,-16,0.0,0.0
6/6/2018 8:07:55 PM,-16,0.0,0.0
6/6/2018 8:07:56 PM,0,0.0,0.0
6/6/2018 8:07:57 PM,16,0.0,0.0
6/6/2018 8:07:58 PM,-28,0.0,-0.1
6/6/2018 8:07:59 PM,-16,0.0,-0.1
6/6/2018 8:08:00 PM,-16,0.0,0.0
6/6/2018 8:08:01 PM,-16,0.0,0.0
6/6/2018 8:08:02 PM,-64,0.0,0.0
6/6/2018 8:08:03 PM,-16,0.0,0.0
6/6/2018 8:08:04 PM,-48,0.0,0.0
6/6/2018 8:08:05 PM,-16,0.0,0.0
6/6/2018 8:08:06 PM,-31,0.0,0.0
6/6/2018 8:08:07 PM,-3,0.0,0.0
6/6/2018 8:08:08 PM,-16,0.0,-0.1
6/6/2018 8:08:09 PM,-1,0.0,0.0
6/6/2018 8:08:10 PM,0,0.0,0.0
6/6/2018 8:08:11 PM,-43,0.0,0.1
6/6/2018 8:08:12 PM,-16,0.0,0.1
6/6/2018 8:08:13 PM,-32,0.0,0.1
6/6/2018 8:08:14 PM,-16,0.0,0.0
6/6/2018 8:08:15 PM,-16,0.0,0.0
6/6/2018 8:08:16 PM,-16,0.0,0.0
6/6/2018 8:08:17 PM,0,0.0,0.0
6/6/2018 8:08:18 PM,32,0.0,0.0
6/6/2018 8:08:19 PM,0,0.0,0.0
6/6/2018 8:08:20 PM,0,0.0,0.0
6/6/2018 8:08:21 PM,-48,0.0,0.0
6/6/2018 8:08:22 PM,-112,0.0,0.0
6/6/2018 8:08:23 PM,-144,0.0,0.0
6/6/2018 8:08:24 PM,-160,0.0,0.0
6/6/2018 8:08:25 PM,-160,0.0,0.0
6/6/2018 8:08:26 PM,-96,0.0,0.0
6/6/2018 8:08:27 PM,-32,0.0,0.0
6/6/2018 8:08:28 PM,-16,0.0,0.0
6/6/2018 8:08:29 PM,48,0.0,0.0
6/6/2018 8:08:30 PM,63,0.0,0.0
6/6/2018 8:08:31 PM,64,0.0,0.0
6/6/2018 8:08:32 PM,32,0.0,0.0
6/6/2018 8:08:33 PM,-16,0.0,0.0
6/6/2018 8:08:34 PM,-48,0.0,0.0
6/6/2018 8:08:35 PM,-48,0.0,0.0
6/6/2018 8:08:36 PM,-112,0.0,0.0
6/6/2018 8:08:37 PM,-96,0.0,0.0
6/6/2018 8:08:38 PM,-64,0.0,0.1
6/6/2018 8:08:39 PM,-48,0.0,0.1
6/6/2018 8:08:40 PM,0,0.0,0.1
6/6/2018 8:08:41 PM,16,0.0,0.0
6/6/2018 8:08:42 PM,31,0.0,0.0
6/6/2018 8:08:43 PM,48,0.0,0.0
6/6/2018 8:08:44 PM,62,0.0,0.0
6/6/2018 8:08:45 PM,49,0.0,0.0
6/6/2018 8:08:46 PM,32,0.0,0.0
6/6/2018 8:08:47 PM,-16,0.0,0.0
6/6/2018 8:08:48 PM,-16,0.0,0.0
6/6/2018 8:08:49 PM,-64,0.0,0.0
6/6/2018 8:08:50 PM,-64,0.0,0.0
6/6/2018 8:08:51 PM,-80,0.0,0.0
6/6/2018 8:08:52 PM,-80,0.0,-0.1
6/6/2018 8:08:53 PM,-50,0.0,0.0
6/6/2018 8:08:54 PM,-16,0.0,0.1
6/6/2018 8:08:55 PM,28,0.0,0.0
6/6/2018 8:08:56 PM,32,0.0,0.0
6/6/2018 8:08:57 PM,64,0.0,0.0
6/6/2018 8:08:58 PM,16,0.0,0.0
6/6/2018 8:08:59 PM,16,0.0,-0.1
6/6/2018 8:09:00 PM,16,0.0,0.0
6/6/2018 8:09:01 PM,-13,0.0,0.0
6/6/2018 8:09:02 PM,-32,0.0,0.0
6/6/2018 8:09:03 PM,-64,0.0,0.0
6/6/2018 8:09:04 PM,-49,0.0,0.1
6/6/2018 8:09:05 PM,-48,0.0,0.0
6/6/2018 8:09:06 PM,-32,0.0,0.0
6/6/2018 8:09:07 PM,-16,0.0,0.0
6/6/2018 8:09:08 PM,0,0.0,-0.1
6/6/2018 8:09:09 PM,0,0.0,0.0
6/6/2018 8:09:10 PM,16,0.0,0.0
6/6/2018 8:09:11 PM,0,0.0,0.0
6/6/2018 8:09:12 PM,-32,0.0,0.0
6/6/2018 8:09:13 PM,-80,0.0,0.0
6/6/2018 8:09:14 PM,-64,0.0,0.0
6/6/2018 8:09:15 PM,-46,0.0,0.0
6/6/2018 8:09:16 PM,-30,0.0,0.0
6/6/2018 8:09:17 PM,-16,0.0,0.0
6/6/2018 8:09:18 PM,0,0.0,0.0
6/6/2018 8:09:19 PM,16,0.0,0.0
6/6/2018 8:09:20 PM,0,0.0,0.0
6/6/2018 8:09:21 PM,32,0.0,0.0
6/6/2018 8:09:22 PM,16,0.0,0.0
6/6/2018 8:09:23 PM,16,0.0,0.0
6/6/2018 8:09:24 PM,-16,0.0,0.0
6/6/2018 8:09:25 PM,0,0.0,0.0
6/6/2018 8:09:26 PM,-16,0.0,0.0
6/6/2018 8:09:27 PM,-32,0.0,0.0
6/6/2018 8:09:28 PM,-32,0.0,0.0
6/6/2018 8:09:29 PM,-14,0.0,0.0
6/6/2018 8:09:30 PM,0,0.0,0.0
6/6/2018 8:09:31 PM,-16,0.0,0.0
6/6/2018 8:09:32 PM,0,0.0,0.0
6/6/2018 8:09:33 PM,-32,0.0,0.0
6/6/2018 8:09:34 PM,0,0.0,0.0
6/6/2018 8:09:35 PM,32,0.0,0.0
6/6/2018 8:09:36 PM,32,0.0,0.0
6/6/2018 8:09:37 PM,0,0.0,0.0
6/6/2018 8:09:38 PM,0,0.0,0.0
6/6/2018 8:09:39 PM,-32,0.0,0.0
6/6/2018 8:09:40 PM,-32,0.0,0.0
6/6/2018 8:09:41 PM,-48,0.0,0.0
6/6/2018 8:09:42 PM,-32,0.0,-0.1
6/6/2018 8:09:43 PM,-47,0.0,-0.1
6/6/2018 8:09:44 PM,-33,0.0,-0.1
6/6/2018 8:09:45 PM,-16,0.0,-0.1
6/6/2018 8:09:46 PM,-16,0.0,-0.1
6/6/2018 8:09:47 PM,0,0.0,-0.1
6/6/2018 8:09:48 PM,16,0.0,-0.1
6/6/2018 8:09:49 PM,16,0.0,-0.1
6/6/2018 8:09:50 PM,16,0.0,-0.1
6/6/2018 8:09:51 PM,-16,0.0,-0.1
6/6/2018 8:09:52 PM,-16,0.0,0.0
6/6/2018 8:09:53 PM,0,0.0,0.0
6/6/2018 8:09:54 PM,-32,0.0,0.0
6/6/2018 8:09:55 PM,-32,0.0,0.1
6/6/2018 8:09:56 PM,-32,0.0,0.1
6/6/2018 8:09:57 PM,-32,0.0,0.1
6/6/2018 8:09:58 PM,0,0.0,0.1
6/6/2018 8:09:59 PM,16,0.0,0.0
6/6/2018 8:10:00 PM,16,0.0,0.0
6/6/2018 8:10:01 PM,16,0.0,0.0
6/6/2018 8:10:02 PM,0,0.0,0.0
6/6/2018 8:10:03 PM,0,0.0,0.0
6/6/2018 8:10:04 PM,-32,0.0,0.0
6/6/2018 8:10:05 PM,-48,0.0,0.0
6/6/2018 8:10:06 PM,-48,0.0,0.0
6/6/2018 8:10:07 PM,-16,0.0,0.0
6/6/2018 8:10:08 PM,-16,0.0,0.0
6/6/2018 8:10:09 PM,-32,0.0,0.0
6/6/2018 8:10:10 PM,0,0.0,0.0
6/6/2018 8:10:11 PM,16,0.0,0.0
6/6/2018 8:10:12 PM,0,0.0,0.0
6/6/2018 8:10:13 PM,16,0.0,0.0
6/6/2018 8:10:14 PM,16,0.0,0.0
6/6/2018 8:10:15 PM,0,0.0,0.0
6/6/2018 8:10:16 PM,16,0.0,0.0
6/6/2018 8:10:17 PM,-16,0.0,0.0
6/6/2018 8:10:18 PM,0,0.0,0.0
6/6/2018 8:10:19 PM,-16,0.0,0.0
6/6/2018 8:10:20 PM,-16,0.0,0.0
6/6/2018 8:10:21 PM,0,0.0,0.0
6/6/2018 8:10:22 PM,0,0.0,0.0
6/6/2018 8:10:23 PM,-16,0.0,0.0
6/6/2018 8:10:24 PM,-16,0.0,0.0
6/6/2018 8:10:25 PM,-16,0.0,0.0
6/6/2018 8:10:26 PM,-32,0.0,0.0
6/6/2018 8:10:27 PM,-32,0.0,0.0
6/6/2018 8:10:28 PM,-32,0.0,0.0
6/6/2018 8:10:29 PM,-16,0.0,0.0
6/6/2018 8:10:30 PM,0,0.0,-0.1
6/6/2018 8:10:31 PM,0,0.0,-0.1
6/6/2018 8:10:32 PM,0,0.0,-0.1
6/6/2018 8:10:33 PM,32,0.0,-0.1
6/6/2018 8:10:34 PM,16,0.0,-0.1
6/6/2018 8:10:35 PM,-42,0.0,0.0
6/6/2018 8:10:36 PM,-48,0.0,0.0
6/6/2018 8:10:37 PM,-64,0.0,0.0
6/6/2018 8:10:38 PM,-64,0.0,0.0
6/6/2018 8:10:39 PM,-29,0.0,0.0
6/6/2018 8:10:40 PM,0,0.0,0.1
6/6/2018 8:10:41 PM,16,0.0,0.0
6/6/2018 8:10:42 PM,16,0.0,0.0
6/6/2018 8:10:43 PM,32,0.0,0.0
6/6/2018 8:10:44 PM,0,0.0,0.0
6/6/2018 8:10:45 PM,0,0.0,0.0
6/6/2018 8:10:46 PM,-16,0.0,0.0
6/6/2018 8:10:47 PM,-32,0.0,0.0
6/6/2018 8:10:48 PM,-48,0.0,0.0
6/6/2018 8:10:49 PM,-32,0.0,-0.1
6/6/2018 8:10:50 PM,-32,0.0,0.0
6/6/2018 8:10:51 PM,-16,0.0,0.0
6/6/2018 8:10:52 PM,-32,0.0,0.0
6/6/2018 8:10:53 PM,-16,0.0,0.0
6/6/2018 8:10:54 PM,0,0.0,0.0
6/6/2018 8:10:55 PM,-16,0.0,-0.1
6/6/2018 8:10:56 PM,-16,0.0,-0.1
6/6/2018 8:10:57 PM,-16,0.0,-0.1
6/6/2018 8:10:58 PM,-16,0.0,-0.1
6/6/2018 8:10:59 PM,0,0.0,0.0
6/6/2018 8:11:00 PM,0,0.0,0.0
6/6/2018 8:11:01 PM,0,0.0,0.0
6/6/2018 8:11:02 PM,-32,0.0,0.0
6/6/2018 8:11:03 PM,0,0.0,0.0
6/6/2018 8:11:04 PM,-32,0.0,0.0
6/6/2018 8:11:05 PM,-16,0.0,0.0
6/6/2018 8:11:06 PM,16,0.0,0.0
6/6/2018 8:11:07 PM,16,0.0,0.0
6/6/2018 8:11:08 PM,-16,0.0,0.0
6/6/2018 8:11:09 PM,-1,0.0,0.0
6/6/2018 8:11:10 PM,0,0.0,0.0
6/6/2018 8:11:11 PM,0,0.0,0.0
6/6/2018 8:11:12 PM,-16,0.0,0.0
6/6/2018 8:11:13 PM,0,0.0,0.0
6/6/2018 8:11:14 PM,32,0.0,0.0
6/6/2018 8:11:15 PM,16,0.0,0.0
6/6/2018 8:11:16 PM,-16,0.0,0.0
6/6/2018 8:11:17 PM,-48,0.0,0.0
6/6/2018 8:11:18 PM,-48,0.0,0.0
6/6/2018 8:11:19 PM,-48,0.0,0.1
6/6/2018 8:11:20 PM,-32,0.0,0.1
6/6/2018 8:11:21 PM,0,0.0,0.1
6/6/2018 8:11:22 PM,16,0.0,0.0
6/6/2018 8:11:23 PM,48,0.0,0.0
6/6/2018 8:11:24 PM,16,0.0,0.0
6/6/2018 8:11:25 PM,16,0.0,0.0
6/6/2018 8:11:26 PM,-16,0.0,0.0
6/6/2018 8:11:27 PM,-48,0.0,0.0
6/6/2018 8:11:28 PM,-48,0.0,0.0
6/6/2018 8:11:29 PM,-48,0.0,0.0
6/6/2018 8:11:30 PM,-16,0.0,0.0
6/6/2018 8:11:31 PM,0,0.0,0.0
6/6/2018 8:11:32 PM,32,0.0,0.0
6/6/2018 8:11:33 PM,16,0.0,0.0
6/6/2018 8:11:34 PM,16,0.0,0.0
6/6/2018 8:11:35 PM,-2,0.0,0.0
6/6/2018 8:11:36 PM,-16,0.0,0.0
6/6/2018 8:11:37 PM,-32,0.0,0.0
6/6/2018 8:11:38 PM,-32,0.0,0.0
6/6/2018 8:11:39 PM,-32,0.0,0.0
6/6/2018 8:11:40 PM,-32,0.0,0.0
6/6/2018 8:11:41 PM,-32,0.0,-0.1
6/6/2018 8:11:42 PM,-16,0.0,-0.1
6/6/2018 8:11:43 PM,-16,0.0,-0.1
6/6/2018 8:11:44 PM,-16,0.0,-0.1
6/6/2018 8:11:45 PM,16,0.0,0.0
6/6/2018 8:11:46 PM,-16,0.0,0.0
6/6/2018 8:11:47 PM,-16,0.0,0.0
6/6/2018 8:11:48 PM,0,0.0,0.0
6/6/2018 8:11:49 PM,-16,0.0,0.0
6/6/2018 8:11:50 PM,-16,0.0,0.0
6/6/2018 8:11:51 PM,-48,0.0,0.0
6/6/2018 8:11:52 PM,-16,0.0,0.0
6/6/2018 8:11:53 PM,-32,0.0,-0.1
6/6/2018 8:11:54 PM,0,0.0,-0.1
6/6/2018 8:11:55 PM,-16,0.0,-0.1
6/6/2018 8:11:56 PM,16,0.0,0.0
6/6/2018 8:11:57 PM,31,0.0,0.0
6/6/2018 8:11:58 PM,32,0.0,0.0
6/6/2018 8:11:59 PM,-32,0.0,0.0
6/6/2018 8:12:00 PM,-64,0.0,0.0
6/6/2018 8:12:01 PM,-112,0.0,0.0
6/6/2018 8:12:02 PM,-96,0.0,0.0
6/6/2018 8:12:03 PM,-32,0.0,0.0
6/6/2018 8:12:04 PM,0,0.0,0.0
6/6/2018 8:12:05 PM,32,0.0,0.0
6/6/2018 8:12:06 PM,80,0.0,0.0
6/6/2018 8:12:07 PM,32,0.0,0.0
6/6/2018 8:12:08 PM,32,0.0,0.0
6/6/2018 8:12:09 PM,0,0.0,0.0
6/6/2018 8:12:10 PM,0,0.0,0.0
6/6/2018 8:12:11 PM,-48,0.0,0.0
6/6/2018 8:12:12 PM,-80,0.0,0.0
6/6/2018 8:12:13 PM,-80,0.0,0.0
6/6/2018 8:12:14 PM,-48,0.0,0.0
6/6/2018 8:12:15 PM,-32,0.0,0.0
6/6/2018 8:12:16 PM,0,0.0,0.0
6/6/2018 8:12:17 PM,48,0.0,0.0
6/6/2018 8:12:18 PM,32,0.0,-0.1
6/6/2018 8:12:19 PM,16,0.0,-0.1
6/6/2018 8:12:20 PM,-16,0.0,0.0
6/6/2018 8:12:21 PM,-32,0.0,0.0
6/6/2018 8:12:22 PM,-48,0.0,0.0
6/6/2018 8:12:23 PM,-48,0.0,0.1
6/6/2018 8:12:24 PM,-64,0.0,0.0
6/6/2018 8:12:25 PM,-16,0.0,-0.1
6/6/2018 8:12:26 PM,16,0.0,-0.1
6/6/2018 8:12:27 PM,32,0.0,0.0
